OID,SUMACCIDEN,ID,CITY,MainUse,POP_2018,TAZAREA,USETYPE,CITYCODE,USETYPECOD,DEAD,SEVER_INJ,SLIGH_INJ,PEDESTRINJ,INJ0_19,INJ20_64,INJ65_,INJTOTAL,TOTDRIVERS,MOTORCYCLE,TRUCK,BICYCLE,PRIVATE,VEHICLE,ACC_INDEX,YEARMONTH,Shape_Length,Shape_Area
,60,544,ראשון לציון,מגורים,9948,852978,מגורים,8300,1,0,0,1,0,1,0,0,1,2,0,0,0,1,2,70.341822922613844,202204,3765.786446115574563,852977.610006050905213
,13,2172,טבריה,מגורים,6378,1475818,מגורים,6700,1,0,0,1,0,1,0,0,1,4,1,0,0,1,4,8.808677091336039,202204,6981.506525870123369,1475817.522336745169014
,17,1186,ירושלים,מגורים,12277,346241,מגורים,3000,1,0,0,2,2,2,0,0,2,1,0,0,0,1,1,49.098724533146836,202204,3958.161078102537886,346241.173505906423088
,14,137,הרצלייה,מגורים,5341,499512,מגורים,6400,1,0,0,2,0,2,0,0,2,2,0,0,0,1,2,28.027357090916624,202204,3065.801740193299338,499511.957356023951434
,2,1828,קריית אתא,שטח פתוח,0,508601,פנאי/טבע/ספורט,6800,3,0,0,9,0,4,5,0,9,4,0,0,0,4,4,3.932353629028488,202204,3692.333819411061995,508601.257332523295190
,34,779,אשדוד,מגורים,4250,339317,מגורים,70,1,0,0,2,0,0,2,0,2,2,0,0,0,2,2,100.201259150840968,202204,2799.189187305653832,339317.093299367406871
,0,2407,באר שבע,שטח פתוח,0,681282,פנאי/טבע/ספורט,9000,3,,,,,,,,,,,,,,,0.000000000000000,202204,4962.864573741636377,681282.354987715836614
,32,1421,טל שחר נחשון בקוע נווה שלום,מגורים,2992,28874994,מגורים,0,1,0,0,1,0,0,1,0,1,2,0,0,0,2,2,1.108225347304535,202204,34926.830927231058013,28874993.770744860172272
,84,1039,תל אביב -יפו,מגורים,1737,230938,מגורים,5000,1,0,0,1,0,1,0,0,1,2,1,0,0,1,2,363.733731845702494,202204,1966.358977057086804,230938.163402544101700
,42,246,בני ברק,מגורים,19257,435224,מגורים,6100,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,96.502105782923920,202204,2970.819370144575714,435223.663351726660039
,6,1665,דאהרייה,לא ידוע,0,58946757,עתידי/לא ידוע,0,5,1,1,2,0,0,4,0,4,2,0,0,0,1,2,0.101786770900879,202204,40071.507402210219880,58946756.507707998156548
